Countries,Current,25%,50%,75%,URL,name_forma
Albania,14.6,15.7,16.8,34.1,,Republic of Albania
Algeria,8.5,10.1,17.1,18.7,,People's Democratic Republic of Algeria
Angola,9.7,13.1,15.3,13.9,,Republic of Angola
Antigua and Barbuda,29.7,31,82.4,75.4,,
Argentina,82.2,80.2,85.5,99.5,,Argentine Republic
Armenia,74.4,94.2,104.1,20.1,,Republic of Armenia
Australia,29.7,31,82.4,75.4,http://www.rodneydekker.com/data/photos/23_107drought_australia.jpg,Commonwealth of Australia
Austria,74.4,94.2,104.1,20.1,,Republic of Austria
Azerbaijan,74.4,94.2,104.1,17.6,,Republic of Azerbaijan
Bahamas,83.9,81.9,100.9,20.1,,
Bangladesh,3.6,3.8,2.9,3.4,,People's Republic of Bangladesh
Barbados,59.9,78.8,106.4,80.8,,
Belarus,3.6,3.8,2.9,63.7,,Republic of Belarus
Belgium,3.6,3.8,2.9,54.8,,Kingdom of Belgium
Belgium-Luxembourg,73.2,89.1,90.9,84.5,,
Belize,29.6,39.2,35.3,38.1,,
Benin,9.6,11.2,9.7,14.2,,Republic of Benin
Bermuda,29.6,39.2,35.3,94.8,,
Bolivia,27.8,36.4,38.7,48.9,,
Bosnia and Herzegovina,29.6,39.2,35.3,19.3,,
Botswana,33.8,12.9,22.1,20.2,,Republic of Botswana
Brazil,30.2,39,48.7,76.5,,Federative Republic of Brazil
Brunei Darussalam,24.5,33.6,59.4,63.6,,
Bulgaria,40.3,63,78.9,57.9,,
Burkina Faso,9.4,7.4,10.5,14.1,,
Burundi,4.4,5.4,5.1,3.7,,Republic of Burundi
Cambodia,9.8,3.9,13.4,14.8,,Kingdom of Cambodia
Cameroon,12.3,13.2,15,14.6,,Republic of Cameroon
Canada,90.2,95.2,93.7,14.6,,
Cape Verde,4.4,6.7,15,24.4,,Republic of Cape Verde
Central African Republic,16.1,18,25.2,26.7,,Central African Republic
Chad,10,13.2,16.2,14.7,,Republic of Chad
Chile,32.9,29,35.9,62.7,,Republic of Chile
China,9.3,13.4,24.2,47.4,http://i.cdn.turner.com/cnn/2011/WORLD/asiapcf/09/13/china.drought/t1larg.china.drought.afp.gi.jpg,People's Republic of China
Colombia,24.1,29.9,33.7,34.8,,Republic of Colombia
Comoros,7.6,10.1,8.3,7.4,,Federal Islamic Republic of the Comoros
Congo,12.7,13,13.5,13.5,,
Costa Rica,18.6,30.4,39.6,44.3,,Republic of Costa Rica
Croatia,29.6,39.2,35.3,33.3,,Republic of Croatia
Cuba,36.6,32.1,40.2,30.1,,Republic of Cuba
Cyprus,52.6,49.4,79.2,88.2,,Republic of Cyprus
Czech Republic,29.6,39.2,35.3,80.6,,Czech Republic
Czechoslovakia,75.1,90.7,100,80.6,,
CÍ—‘‰te d'Ivoire,23.4,21.5,17.5,12.8,,
Democratic People's Republic of Korea,8.1,13.2,16,9.5,,
Denmark,56.4,72.1,99,9.5,,Kingdom of Denmark
Djibouti,25.4,20.4,12.7,13.7,,Republic of Djibouti
Dominica,27,29.3,56.2,48.7,,Commonwealth of Dominica
Dominican Republic,15.1,22.4,29.1,37.6,,
Ecuador,17.5,22.6,23.3,36.4,,Republic of Ecuador
Egypt,10.6,11,15.6,21.5,,Arab Republic of Egypt
El Salvador,10.1,13.5,14.3,17.6,,Republic of El Salvador
Eritrea,10.6,11,15.6,8.9,,State of Eritrea
Estonia,10.1,13.5,14.3,58.9,,Republic of Estonia
Ethiopia,10.6,11,15.6,7.2,,Federal Democratic Republic of Ethiopia
Ethiopia PDR,10.1,13.5,14.3,58.9,,
Fiji,17.8,28.4,35.9,43.9,,Republic of the Fiji Islands
Finland,43,56,63.5,67.3,,Republic of Finland
France,85.4,100.3,98.5,99.7,,French Republic
French Polynesia,46.7,58.5,73.3,93.2,,
Gabon,49.9,51.1,46.8,45,,Gabonese Republic
Gambia,12.1,10,7.4,6.5,,Republic of the Gambia
Georgia,49.9,51.1,46.8,45,,
Germany,75,93.5,96,84.1,,Federal Republic of Germany
Ghana,10.3,10,10.3,10.3,,Republic of Ghana
Greece,42.7,67.3,76.3,81.6,,Hellenic Republic
Grenada,23.9,35.5,39,47.9,,
